Creator / Team,Badge / SAO Title,Links (to Buy and/or Firmware Github),Price,"Contact (email, twitter, discord, etc)",Badge / SAO Functions,Qty Produced,Notes,Date Line Updated,,
Aask Labs,Infinite WiFi Portal,shop.truecontrol.org,$120 - $200,,,,Price is dependent on how much of the work is complete by the time DC starts,,,
Abhinav Panda/Hackerware.io,Bug Bounty Village Badge ,Available at DEFCON 32,Free,"@infinitelogins, @arl_rose, @BugBountyDEFCON",Inaugural Bug Bounty Village badge in full-colour,,Follow @BugBountyDEFCON on twitter/x to learn how to get an exclusive Bug Bounty Village Badge during DEF CON. Only available for people on site at DEF CON 32.,2024-08-01,,
,Arcanum Badge,Available at DEFCON 32,Free,Twitter @jhaddix and @arcanuminfosec,A full-colour Arcanum badge combining the magic of glow in the dark and acrylic,100,"They will be at BsidesLV, BlackHat, and DEFCON doing drops everyday, First X people to arrive will get a badge and a swag bag",2024-07-28,,
,Flare Badge (remember... at least 10 pieces of Flair),Available at DEFCON 32,Free,Contact - #General or #  | (diamond?) flare channels on RTV Discord.,A full-colour hacker raccoon inspired by Flare's mascot. ,,First-come-first-serve at DEFCON. Drop locations will be announced in #General or #  | flare channels on RTV Discord.,2024-08-01,,
,Constellation Badge,Available at DEFCON 32 in the Aerospace Village,Free,Look out for contests in Aerospace Village., A full-colour CTF badge with 12 challenges to solve and unlock constellations in the badge universe. ,,"Sponsored by Buddobot, only available at Aerospace Village.",2024-08-01,,
"Abhinav / Hackerware.io, Max, Hankashyyyk",Voyager Golden Record SAO,Available at DEFCON 32,Free,Look out for @hdanielson,"Replica of Golden Record on Voyager 1, crafted in gold ENIG with 2 GPIOs for all the hacking",,,2024-08-01,,
Aerospace Village,,Selling during DEFCON at the Aerospace Village ,$160.00,,,,,2024-07-29,,
Alee,TPB Badge,,$100.00,,It is a badge and three (3) SAO's,,,2024-07-18,,
Alt_Bier,Cowboys vs. Dinosaurs (limited run),Indiegogo campaign complete. Acquisition must be done at DEFCON.,$70.00,https://twitter.com/alt_bier,,,Indiegogo link is now closed!! All fully assembled badges are sold out. Only ones left will be kits and will be available at The Hacker Warehouse in the Vendor Area at DEFCON 32.,2024-07-25,,
,Godzilla vs... (will have 3 or 4 SAO's to battle),,,,,,,,,
"AI Village, Abhinav Panda / Hackerware.io",AI Village Badge,,,,A full-colour blinky badge,,Watch out for AIV announcements for badge drops!,2024-07-28,,
AND!XOR,Who really knows... just buy the damn thing,https://t.co/fC96TYC5u3,$250.00,https://x.com/ANDnXOR,We will not know until you have received it,????,All are SOLD OUT!!! Thanks to all who acquired one! Good luck to everyone else at DEFCON,2024-06-13,,
Antihacker Hacker Club,,,,,,,,,,
Badge.team,MCH2022 Badge,"https://badge.team/docs/badges/mch2022/
 
https://github.com/badgeteam/mch2022-badge-hardware",€80.00,defcon32@badge.team,"It's got an ICE40UP5K FPGA that can control the display, it plays Doom, Out of This World and Gameboy games. You can publish apps at mch2022.badge.team which can then be downloaded via the badge itself.
",,Pay attention to the currency. This price is in Euros and shipping from the Netherlands will need to be included (I will be buying one and I will list the total amount when it goes through). You may buy as many badges at once that you wish.,2024-06-03,,
BadgePirates ,,,,,,,,,,
Bens Badges,Visit the link to see this phenomenal piece of work!,https://www.bensbadges.com/,$120.00,,"It has 1,984 LEDs which you can use to display your own scrolling message or pattern! It also has a built-in microphone and accelerometer that you can use to create cool effects. You can order it on our website now to pick up at DEFCON!",,"It has been rumored (or rumoured for those across the pond) that the smoky lens looks best. If you want to be sure, buy all colors and test for us all.",2024-08-01,,
BioHacking Village,https://www.villageb.io/2024badge,,,,,,,,,
Bitefl0w,,,,,,,,,,
BigFuckingBadge,BigFuckingOOTBadge,sold only at the con,~$100,bfb.team.public@gmail.com,"It's a BigFuckingBadge so it's huge (18x12). It's modeled after the Ocarina Of Time. It plays notes, OOT songs, Nyan Cat. It has lights. It has an Easter Egg or two.",,https://hackaday.io/project/196537-bigfuckingootbadge,2024-06-18,,
,"""fuck"" note offensive SAO",sold only at the con,~$20,bfb.team.public@gmail.com,"It displays a lit up LED next to a phrase that starts with FUCK. You can select between 13 of them with a touch sensitive pad in the same of a meme guy. Includes SAO connector to solder on, and cr2032 clip, switch, and magnetic lapel stickon clip if the owner wants to wear it separately from a host badge. https://hackaday.io/project/194808-fuck-note-sao",,,2024-06-18,,
Black Badge Raffle,,,,,,,,,,
BlackGirlsHack,,,,,,,,,,
Blacks in Cyber (BiC),BIC Brick,,$25.00,merchandise@bichq.org,,,,2024-06-22,,
,Black Panther: Wakanda Forever!,https://blacksincyber.square.site/product/bic-village-badge-2022/4?cs=true,$65.00,,Check buying link for functions,,These are past year's badge. It is a very good idea to get them when they are available. It is very rare for a village to have badges from previous years available. I would grab it while you can!,2024-06-22,,
,BIC-FORCE ONES!,https://blacksincyber.square.site/product/bic-village-badge-2023/1?si=true,$65.00,,Check buying link for functions,,,2024-06-22,,
Blametheotherkyle,Burro Badge,Drops during DEFCON,Free,Watch Twitter #badgelife for drop details during DEFCON,Super secret!,,,2024-07-30,,
,D3cad3 Count3r SAO,Drops during DEFCON,Free,Watch Twitter #badgelife for drop details during DEFCON,Guess what it does lol,,,2024-07-30,,
Blue Team Village,Camera Badge,https://t.co/WSAEdwdtY3,$80 / $140,,A wifi deauther along with other games,,The sales link goes live on 29 July 2024 at 0900 Central Time,2024-07-28,,
Bradán Lane,eChallenge Coin 2024,https://www.tindie.com/products/bradanlane/explorer-badge/,$75.00,@bradanlane,"Continuation od Sara Cladlow's adventures and an All New Text Adventure Game, ""Sara and the Dark Labyrinth""",,,2024-03-14,,
Brock (Infosec Exchange),,,,,,,,,,
C0ldbru (Rot13 labs),Veillid SAO,https://t.co/QBz8afPb4W,$35.00,https://x.com/c0ldbru,"Designed to help us take back control. Even has a nice, resounding click to it",,,2024-06-06,,
,Wifi Troll Badge,Coming Soon!!!,$70.00,,"wifi trolling, serial console with debug, feature flags, badge CTF, etc.",,,,,
California Cyber Institute CalPoly SLO,,,,,,,,,,
Car Hacking Village,CHV Main Badge,Available at the Car Hacking Village (CHV),$100.00,https://www.carhackingvillage.com ,"150mm Wide
CTF Challenges
RP2040
4 CAN Networks
Dry CAN Connector
4 SAO Connectors",,,2024-07-17,,
,Key Fob SAO,,$50.00,,"CTF Challenges
125 KHz (LF) Receiver
433 MHz Transmitter
Touch Buttons",,,,,
,PRND SAO,,$50.00,,"LCD Display
Simulated PARK, REVERSE, NEUTRAL, DRIVE",,,,,
CoD_Segfault,,,,,,,,,,
Cyber Circuitry,,,,,,,,,,
Cyber City Circuits,,,,,,,,,,
CyDefe Labs LLC,Society of Shenanigans Badge,https://t.co/ErGTKwOARt,$50.00,@cydefe,In Progress,,"The Indiegogo is now LIVE!!! There are 7 slots open for co-creators at $75. You want to be one!

The makers will have gyms spread randomly at DC for battles!!",2024-05-11,,
Darknet (Gulo),Secret Badge (no info at all),"This will be available in the DCDarknet Contest Area. 

Go to https://darknet-ng.network/darknet-ng-13-badge/ for info",Free,"Twitter/X: https://x.com/DarknetNG
Mastodon https://defcon.social/@DarknetNG
Follow our blog for in-depth details
https://darknet-ng.network/",,,"DC Darknet is thrilled to announce their highly anticipated Contest and Badge Information will be dropping in just a few days! 
Whether you’re a seasoned security engineer or new to the world of infosec, this is your mission to showcase your skills and earn XP. Stay tuned for all the details on how you can participate, and how you can prove your mettle to the Darknet-NG community.",2024-07-06,,
,Another badge similar to past years,Please see the notes section,,DC Darknet will have about 40 of these badges to provide for donations.,Forms a badge that will interact with a private LoRa meshnet,,"Go to the following blog post: darknet-ng.network/darknet-ng-13-badge
This is a DIY LoRa meshnet badge. Pieces/parts will be gathered by you. Directions will be released in stages.",,,
DC Punks (Kay Kidoutai and NeonPlaidPants),Edgerunner License,https://www.tindie.com/products/dc_punks/edgerunner-license/,$22.22,Twitter: @defconpunks,How do you get a license to do a damn illegal thing?,,On sale now on Tindie.com with pickup at DEFCON32,2024-08-02,,
,big pink y2k countdown badge,https://www.tindie.com/products/dc_punks/dcpunks-countdown-to-y2k-badge/,$33.33,https://t.co/iDbzAkaN83 (Mastadon Link),like a bomb??,,On sale now on Tindie.com with pickup at DEFCON32,,,
,Rick Roll SAO,https://www.tindie.com/products/dc_punks/rick-roll-sao/,$33.33,https://t.co/NbhHMKICJY (Linktree Link),Hand someone a Rick Roll,,On sale now on Tindie.com with pickup at DEFCON32,,,
DC31,,,,,,,,,,
DC512,,,,,,,,,,
DC540,Chakra Badge,https://dc540.org/xxx/shop/,$100.00,@dc540_nova,,,The current price is $100 with $10 for shipping,2024-06-01,,
DCEnterprise,,,,,,,,,,
DCZIA,DCZia's dumb DC32 badge (winner for most unique name lol),TBD,$130.00,@dczia505 on twitter/ dczia.bsky.social on bluesky,There is a mic. There is a speaker. There will be more yolo,,"Info on sales pending. Also, the price is approximate at this time.",2024-07-30,,
DEFCON Furs,An electronic badge is in the works,https://donate.defconfurs.org,$130.00,https://dcfurs.com,Looks like LoRa wireless and some goodies! OUR Furries always kick out awesome badges.,,There is a version with the pcb and not assembled. You may be able to get the pcb and assemble it yourself. I do not know but it sounds challenging (especially at my age),2024-07-17,,
Diana Initiative/Chris aka TechgirlMN,Ticket add-on for the Diana Initiative,dianainitiative.org,$40.00,chris@dianainitiative.org,,,There will be a table set up in the Makers Village at DEFCON 32 where the badges will be available (yay!),2024-07-25,,
distimctm1nd,,,,,,,,,,
El Jefe de Security,,,,,,,,,,
Embedded Systems Village,Mini EMP Ray-gun!!!,Purchase at the Embedded Systems Village (ESV) at DEFCON,$150.00,,,,There may be a way to purchase in advance... stay tuned!!,2024-08-01,,
Florida Man,,,,,,,,,,
Garrett / Hacker Warehouse,,,,,,,,,,
Gigs,,,,,,,,,,
GoonBoxBadge (MK Factor),Cassandra SAO,https://t.co/aGlGuf3UXy,$20.00,Watch @GoonBoxBadge on Twitter for drops during DEFCON,"An SAO for our Whovians, Cassandra is a backlit flex PCB suspended on a frame.",,"Provided as a kit, there may be a limited number of assembled ones available.",,,
GothCon,Standard Art Badge,,$40.00,More to follow,,500,,,,
,Blinky Badge,,$40.00,More to follow,,300,,,,
GrrCON (designed by Hak4Kids),,,,,,,,,,
HackerBoxes,Alien Robot Badge,https://hackerboxes.com/collections/past-hackerboxes/products/hackerbox-0104-engage,,www.hackerboxes.com,,,We will also have kits and some fully assembled at the HackerBox DC32 Vendor Table (have built this one and it does have a nice challenge concerning the soldering of wires on it).,2024-07-24,,
H4rl0d (of LHC fame...and other fames too),,,,,,,,,,
Hak4Kidz,Cicada Invada (<--- this wins the badge name award thus far) ,Purchase from Hacker Warehouse at DC 32,$30.00,questions@hak4kidz.com,Chirps like a cicada with a dial to change the frequency. Lower frequency chirps can be used as a gag in someone's house. Makes them think a bug got inside their home.,,,2024-06-29,,
,DIY Cicada Badge,Purchase from Hacker Warehouse at DC 32,$30.00,questions@hak4kidz.com,It's a bad ass looking SAO.,,Makers have just finished other projects and have started these. More to follow,2024-06-29,,
,Gundam Morty SAO,Purchase from Hacker Warehouse at DC 32,$30.00,questions@hak4kidz.com,Variable frequency chirping cicada. Can also be used as a gag that a cicada got into someone's house.,,,2024-06-29,,
ICS Village,,Purchase at the ICS Village,$60/$70,https://x.com/ICS_Village,,,,2024-07-30,,
Rex,MF Doom SAO,Sale during DEFCON 32,,kniveslikebutterflies@gmail.com,,,Anything Doom from the hacker community is what you want!,2024-07-19,,
,CannaBadge,Sale during DEFCON 32,,,"It is the biggest leaf of Mary Jane you have ever seen. Light up your smoke, take a toke, and turn on your badge!",,,,,
Ironwood Cyber,Badge with unreleased name as of yet :),"Limited number of donated badges will be available for auction from BsidesOrlando. Follow @BsidesORL on twitter for information. Aside from the auctioned badges, some will be available via mini ctf during the con


Auction site is up: https://go.rallyup.com/6c981b/Auction/Details",$0.00,Follow @IronwoodCyber on Twitter for details or join our game discord server https://discord.gg/cCnWsFvgHz,It's a surprise,,"Mobile app (officially released in app stores) allows badge customization, configuring wifi settings over ble, provides visual interface for game status, leaderboard access, etc, and contains a hybrid game with mix of 3d game mechanics, ctf/puzzle and badge music and social games. 
 
Badge hardware uses touch pads for user interface, and has audio and haptic feedback. One part of the badge game is to figure out short musical notes. 
 
 We will also be back porting this software release to be compatible with all previous year‚Äôs badges (though tron badge has no audio). All badges can play together",2024-06-03,,
JollyBadge,Name not released as of yet,https://www.getjollybadge.com/,$125.00,twitter.com/GetJollyBadge,,,People can pre-order badges on the link provided if you are okay with not getting it until after the con. The price will be $125 at the Cyber Swamplords vendor table at DEFCON,2024-07-06,,
K4r4koyun,teETHernet SAO,,$30.00,twitter.com/k4r4koyun,"[Blinky + Ethernet Cable Tester + Mini CTF + Bonus Sticker] => The SAO has 9 LEDs, which either blink via alternating patters or act as a status indicator for ethernet cable connectivity function. There is a very basic challenge accessible from the UART interface of the SAO. The source code for the badge, instructions to pins and programming environment will also be provided, if anybody wants to repurpose or experiment. Finally, a glow-in-the-dark sticker will be included with the purchase.",,"The SAO will only be sold in person, I'll be in Vegas between 1st and 12th of August. Details regarding drops will be announced on Twitter",2024-07-06,,
KernalKrash,,,,,,,,,,
Make it Hackin,,,,,,,,,,
MetaN3rd,,,,,,,,,,
Nerfhammer,,,,,,,,,,
NilbinSec,Power Glove,,Free!!,,,250,Badge drops will be regularly announced via our twitter https://x.com/nilbinsec/ and other social media.,2024-05-31,,
Ninjaican,,,,,,,,,,
Otter,Darkstar Badge,Available at DEFCON through raffle and/or contests,,https://x.com/security_otter,,,Pay attention to twitter feed for info,2024-08-04,,
"Office of the National Cyber Director (i.e., the feds)",,,,,,,,,,
p0ns/idk,Disappointing Badge,none at this time but more info soon at https://idk.bz,,"https://twitter.com/p0ns 
https://defcon.social/p0ns 
https://idk.bz",,,,2024-06-23,,
,Battery SAO,,,,,,,2024-06-23,,zz
,420 Bud SAO,,,,,,,2024-06-23,,
,IDK SAO,,,,,,,2024-06-23,,
